SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,datetime,Flow (Veh/hr)
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 6:00,697
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 7:00,1330
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 8:00,1553
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 9:00,1295
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 10:00,1080
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 11:00,1099
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 12:00,1099
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 13:00,1095
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 14:00,1098
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 15:00,1177
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 16:00,1301
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 17:00,1372
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 18:00,1064
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 19:00,682
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 20:00,509
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 21:00,442
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 22:00,361
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 23:00,168
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 0:00,90
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 1:00,47
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 2:00,23
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 3:00,26
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 4:00,49
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 5:00,184
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 6:00,757
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 7:00,1390
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 8:00,1566
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 9:00,1391
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 10:00,1199
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 11:00,1166
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 12:00,1190
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 13:00,1094
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 14:00,1187
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 15:00,1309
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 16:00,1299
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 17:00,1397
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 18:00,1095
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 19:00,794
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 20:00,586
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 21:00,592
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 22:00,450
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,10/10/2006 23:00,201
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,11/10/2006 0:00,108
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,11/10/2006 1:00,40
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,11/10/2006 2:00,48
